symbol,name,status,delisted_date,last_bar_date,gap_days,has_factor
000699,*ST 佳纸,LARGE_GAP,2007-04-04,2006-04-28,341,True
000832,*ST 龙涤,LARGE_GAP,2006-06-29,2005-04-29,426,True
600092,*ST精 密,LARGE_GAP,2006-11-30,2006-08-31,91,True
000616,*ST海投,LARGE_GAP,2023-08-23,2023-06-13,71,True
000961,ST中南,LARGE_GAP,2024-07-11,2024-05-08,64,True
600659,*ST花 雕,LARGE_GAP,2006-03-23,2005-12-30,83,True
600799,*ST龙 科,LARGE_GAP,2006-01-04,2005-04-29,250,False
600672,*ST华 圣,LARGE_GAP,2005-08-05,2005-04-27,100,True
000671,ST阳光城,LARGE_GAP,2023-08-16,2023-06-09,68,True
600677,*ST航通,LARGE_GAP,2021-03-18,2020-04-29,323,True
600772,*ST龙 昌,LARGE_GAP,2006-11-30,2006-08-31,91,True
600852,*ST中 川,LARGE_GAP,2005-09-16,2005-04-22,147,True
600680,*ST上普,LARGE_GAP,2019-05-24,2018-04-27,392,True
000748,长城信息,LARGE_GAP,2017-01-18,2016-10-31,79,True
600213,*ST亚星,LARGE_GAP,2024-10-17,2024-08-15,63,True
600762,*ST金 荔,LARGE_GAP,2007-11-20,2006-04-28,571,True
000769,*ST 大菲,LARGE_GAP,2005-09-21,2005-04-29,145,True
600752,*ST哈 慈,LARGE_GAP,2005-09-22,2005-04-29,146,True
000787,*ST 创智,LARGE_GAP,2013-02-08,2007-04-27,2114,True
000805,*ST炎黄,LARGE_GAP,2013-03-27,2006-04-28,2525,True
600181,*ST云 大,LARGE_GAP,2007-06-01,2006-04-28,399,True
600700,*ST数 码,LARGE_GAP,2005-09-20,2005-04-25,148,True
000827,*ST 长兴,LARGE_GAP,2005-09-21,2005-04-28,146,True
000732,ST泰禾,LARGE_GAP,2023-08-04,2023-06-02,63,True
002504,*ST弘高,LARGE_GAP,2023-08-21,2023-06-12,70,True
600205,S山东铝,LARGE_GAP,2007-04-30,2007-01-09,111,True
300116,*ST保力,LARGE_GAP,2024-07-25,2024-05-16,70,True
300495,*ST美尚,LARGE_GAP,2024-09-20,2024-05-08,135,True
600296,S兰铝,LARGE_GAP,2007-04-30,2007-01-09,111,False
600485,*ST信威,LARGE_GAP,2021-06-01,2020-04-20,407,True
600003,ST东北高,LARGE_GAP,2010-02-26,2009-03-13,350,True
300262,*ST巴安,LARGE_GAP,2024-08-19,2024-06-18,62,True
601268,*ST二重,LARGE_GAP,2015-05-21,2014-04-28,388,True
600286,*ST国 瓷,LARGE_GAP,2007-05-31,2006-04-28,398,True
000583,*ST 托普,LARGE_GAP,2007-05-21,2006-04-19,397,True
600065,*ST联 谊,LARGE_GAP,2007-12-13,2006-02-21,660,True
600899,*ST信 联,LARGE_GAP,2005-09-21,2005-01-19,245,True
601028,玉龙股份,LARGE_GAP,2025-05-27,2025-03-26,62,True
002503,*ST搜特,LARGE_GAP,2023-08-11,2023-05-22,81,True
000535,*ST 猴王,LARGE_GAP,2005-09-21,2005-04-29,145,True
000549,S 湘火炬,LARGE_GAP,2007-04-27,2006-12-18,130,True
000765,*ST 华信,MISSING_BARS,2005-07-04,N/A,,False
600788,*ST达 曼,MISSING_BARS,2005-03-25,N/A,,False
600270,外运发展,OK,2018-12-28,2018-12-12,16,True
600220,ST阳光,OK,2024-07-10,2024-06-13,27,True
600240,退市华业,OK,2020-02-06,2020-01-23,14,True
600263,路桥建设,OK,2012-03-01,2012-02-20,10,True
600242,退市中昌,OK,2023-06-29,2023-06-20,9,True
600275,退市昌鱼,OK,2022-06-22,2022-06-15,7,True
600277,ST亿利,OK,2024-07-18,2024-06-21,27,True
600290,*ST华仪,OK,2024-01-16,2023-12-25,22,True
