industry_level1_name,industry_level1_code,industry_level2_name,industry_level2_code,industry_level3_name,industry_level3_code
农林牧渔,110000,种植业,110100,种子,110101
农林牧渔,110000,种植业,110100,粮食种植,110102
农林牧渔,110000,种植业,110100,其他种植业,110103
农林牧渔,110000,种植业,110100,食用菌,110104
农林牧渔,110000,渔业,110200,海洋捕捞,110201
农林牧渔,110000,渔业,110200,水产养殖,110202
农林牧渔,110000,林业Ⅱ,110300,林业Ⅲ,110301
农林牧渔,110000,饲料,110400,畜禽饲料,110402
农林牧渔,110000,饲料,110400,水产饲料,110403
农林牧渔,110000,饲料,110400,宠物食品,110404
农林牧渔,110000,农产品加工,110500,果蔬加工,110501
农林牧渔,110000,农产品加工,110500,粮油加工,110502
农林牧渔,110000,农产品加工,110500,其他农产品加工,110504
农林牧渔,110000,养殖业,110700,生猪养殖,110702
农林牧渔,110000,养殖业,110700,肉鸡养殖,110703
农林牧渔,110000,养殖业,110700,其他养殖,110704
农林牧渔,110000,动物保健Ⅱ,110800,动物保健Ⅲ,110801
农林牧渔,110000,农业综合Ⅱ,110900,农业综合Ⅲ,110901
基础化工,220000,化学原料,220200,纯碱,220201
基础化工,220000,化学原料,220200,氯碱,220202
基础化工,220000,化学原料,220200,无机盐,220203
基础化工,220000,化学原料,220200,其他化学原料,220204
基础化工,220000,化学原料,220200,煤化工,220205
基础化工,220000,化学原料,220200,钛白粉,220206
基础化工,220000,化学制品,220300,涂料油墨,220305
基础化工,220000,化学制品,220300,民爆制品,220307
基础化工,220000,化学制品,220300,纺织化学制品,220308
基础化工,220000,化学制品,220300,其他化学制品,220309
基础化工,220000,化学制品,220300,氟化工,220311
基础化工,220000,化学制品,220300,聚氨酯,220313
基础化工,220000,化学制品,220300,食品及饲料添加剂,220315
基础化工,220000,化学制品,220300,有机硅,220316
基础化工,220000,化学制品,220300,胶黏剂及胶带,220317
基础化工,220000,化学纤维,220400,涤纶,220401
基础化工,220000,化学纤维,220400,粘胶,220403
基础化工,220000,化学纤维,220400,其他化学纤维,220404
基础化工,220000,化学纤维,220400,氨纶,220405
基础化工,220000,化学纤维,220400,锦纶,220406
基础化工,220000,塑料,220500,其他塑料制品,220501
基础化工,220000,塑料,220500,改性塑料,220503
基础化工,220000,塑料,220500,合成树脂,220504
基础化工,220000,塑料,220500,膜材料,220505
基础化工,220000,橡胶,220600,其他橡胶制品,220602
基础化工,220000,橡胶,220600,炭黑,220603
基础化工,220000,橡胶,220600,橡胶助剂,220604
基础化工,220000,农化制品,220800,氮肥,220801
基础化工,220000,农化制品,220800,磷肥及磷化工,220802
基础化工,220000,农化制品,220800,农药,220803
基础化工,220000,农化制品,220800,钾肥,220804
基础化工,220000,农化制品,220800,复合肥,220805
基础化工,220000,非金属材料Ⅱ,220900,非金属材料Ⅲ,220901
钢铁,230000,冶钢原料,230300,铁矿石,230301
钢铁,230000,冶钢原料,230300,冶钢辅料,230302
钢铁,230000,普钢,230400,长材,230401
钢铁,230000,普钢,230400,板材,230402
钢铁,230000,普钢,230400,钢铁管材,230403
钢铁,230000,特钢Ⅱ,230500,特钢Ⅲ,230501
有色金属,240000,金属新材料,240200,其他金属新材料,240201
有色金属,240000,金属新材料,240200,磁性材料,240202
有色金属,240000,工业金属,240300,铝,240301
有色金属,240000,工业金属,240300,铜,240302
有色金属,240000,工业金属,240300,铅锌,240303
有色金属,240000,贵金属,240400,黄金,240401
有色金属,240000,贵金属,240400,白银,240402
有色金属,240000,小金属,240500,稀土,240501
有色金属,240000,小金属,240500,钨,240502
有色金属,240000,小金属,240500,其他小金属,240504
有色金属,240000,小金属,240500,钼,240505
有色金属,240000,能源金属,240600,钴,240601
有色金属,240000,能源金属,240600,镍,240602
有色金属,240000,能源金属,240600,锂,240603
电子,270000,半导体,270100,分立器件,270102
电子,270000,半导体,270100,半导体材料,270103
电子,270000,半导体,270100,数字芯片设计,270104
电子,270000,半导体,270100,模拟芯片设计,270105
电子,270000,半导体,270100,集成电路制造,270106
电子,270000,半导体,270100,集成电路封测,270107
电子,270000,半导体,270100,半导体设备,270108
电子,270000,元件,270200,印制电路板,270202
电子,270000,元件,270200,被动元件,270203
电子,270000,光学光电子,270300,面板,270301
电子,270000,光学光电子,270300,LED,270302
电子,270000,光学光电子,270300,光学元件,270303
电子,270000,其他电子Ⅱ,270400,其他电子Ⅲ,270401
电子,270000,消费电子,270500,品牌消费电子,270503
电子,270000,消费电子,270500,消费电子零部件及组装,270504
电子,270000,电子化学品Ⅱ,270600,电子化学品Ⅲ,270601
汽车,280000,汽车零部件,280200,车身附件及饰件,280202
汽车,280000,汽车零部件,280200,底盘与发动机系统,280203
汽车,280000,汽车零部件,280200,轮胎轮毂,280204
汽车,280000,汽车零部件,280200,其他汽车零部件,280205
汽车,280000,汽车零部件,280200,汽车电子电气系统,280206
汽车,280000,汽车服务,280300,汽车经销商,280302
汽车,280000,汽车服务,280300,汽车综合服务,280303
汽车,280000,摩托车及其他,280400,其他运输设备,280401
汽车,280000,摩托车及其他,280400,摩托车,280402
汽车,280000,乘用车,280500,电动乘用车,280501
汽车,280000,乘用车,280500,综合乘用车,280502
汽车,280000,商用车,280600,商用载货车,280601
汽车,280000,商用车,280600,商用载客车,280602
家用电器,330000,白色家电,330100,空调,330102
家用电器,330000,白色家电,330100,冰洗,330106
家用电器,330000,黑色家电,330200,彩电,330201
家用电器,330000,黑色家电,330200,其他黑色家电,330202
家用电器,330000,小家电,330300,厨房小家电,330301
家用电器,330000,小家电,330300,清洁小家电,330302
家用电器,330000,小家电,330300,个护小家电,330303
家用电器,330000,厨卫电器,330400,厨房电器,330401
家用电器,330000,厨卫电器,330400,卫浴电器,330402
家用电器,330000,照明设备Ⅱ,330500,照明设备Ⅲ,330501
家用电器,330000,家电零部件Ⅱ,330600,家电零部件Ⅲ,330601
家用电器,330000,其他家电Ⅱ,330700,其他家电Ⅲ,330701
食品饮料,340000,食品加工,340400,肉制品,340401
食品饮料,340000,食品加工,340400,其他食品,340404
食品饮料,340000,食品加工,340400,预加工食品,340406
食品饮料,340000,食品加工,340400,保健品,340407
食品饮料,340000,白酒Ⅱ,340500,白酒Ⅲ,340501
食品饮料,340000,非白酒,340600,啤酒,340601
食品饮料,340000,非白酒,340600,其他酒类,340602
食品饮料,340000,饮料乳品,340700,软饮料,340701
食品饮料,340000,饮料乳品,340700,乳品,340702
食品饮料,340000,休闲食品,340800,零食,340801
食品饮料,340000,休闲食品,340800,烘焙食品,340802
食品饮料,340000,休闲食品,340800,熟食,340803
食品饮料,340000,调味发酵品Ⅱ,340900,调味发酵品Ⅲ,340901
纺织服饰,350000,纺织制造,350100,棉纺,350102
纺织服饰,350000,纺织制造,350100,印染,350104
纺织服饰,350000,纺织制造,350100,辅料,350105
纺织服饰,350000,纺织制造,350100,其他纺织,350106
纺织服饰,350000,纺织制造,350100,纺织鞋类制造,350107
纺织服饰,350000,服装家纺,350200,鞋帽及其他,350205
纺织服饰,350000,服装家纺,350200,家纺,350206
纺织服饰,350000,服装家纺,350200,运动服装,350208
纺织服饰,350000,服装家纺,350200,非运动服装,350209
纺织服饰,350000,饰品,350300,钟表珠宝,350301
纺织服饰,350000,饰品,350300,多品类奢侈品,350302
纺织服饰,350000,饰品,350300,其他饰品,350303
轻工制造,360000,造纸,360100,大宗用纸,360102
轻工制造,360000,造纸,360100,特种纸,360103
轻工制造,360000,包装印刷,360200,印刷,360202
轻工制造,360000,包装印刷,360200,金属包装,360203
轻工制造,360000,包装印刷,360200,塑料包装,360204
轻工制造,360000,包装印刷,360200,纸包装,360205
轻工制造,360000,包装印刷,360200,综合包装,360206
轻工制造,360000,家居用品,360300,瓷砖地板,360306
轻工制造,360000,家居用品,360300,成品家居,360307
轻工制造,360000,家居用品,360300,定制家居,360308
轻工制造,360000,家居用品,360300,卫浴制品,360309
轻工制造,360000,家居用品,360300,其他家居用品,360311
轻工制造,360000,文娱用品,360500,文化用品,360501
轻工制造,360000,文娱用品,360500,娱乐用品,360502
医药生物,370000,化学制药,370100,原料药,370101
医药生物,370000,化学制药,370100,化学制剂,370102
医药生物,370000,中药Ⅱ,370200,中药Ⅲ,370201
医药生物,370000,生物制品,370300,血液制品,370302
医药生物,370000,生物制品,370300,疫苗,370303
医药生物,370000,生物制品,370300,其他生物制品,370304
